PC1	PC2	country	westernization
-0.23047614826605167	-0.2162777882388195	FJI	NW
-0.3527744819785391	0.02976152627416364	FJI	NW
-0.11102227150130976	-0.2754667347307107	FJI	NW
-0.39451851898512796	0.1705622169198914	FJI	NW
-0.1714318163035967	-0.24205908256691833	FJI	NW
-0.3372315367732414	-0.07045297391514502	FJI	NW
-0.3879841935515052	-0.016560994107692347	FJI	NW
-0.33261472944082665	0.11591629771996181	FJI	NW
-0.27216288570086966	0.296225280109107	FJI	NW
-0.4145910547106874	0.08077644623131068	FJI	NW
-0.3476746189437888	0.28171864522220835	FJI	NW
-0.07284422124040436	-0.2665566266333924	TZA	NW
-0.07269788880034446	-0.19294797053263077	TZA	NW
-0.06870583120550199	-0.2190478549179744	TZA	NW
-0.00729713247637624	-0.21713638557803672	TZA	NW
